English	Английська
German	Німецька
Chinese	Китайська
French	Французька
Italian	Італійська
Spanish	Іспанська
Russian	Російська
Korean	Корейська
Polish	Польська
Ukrainian 	Українська
Japanese	Японська

1089572441	Вибрати персонажа
326908463	Відмінити вибір персонажа
1593035469	Вибрати усіх персонажів
720952508	Відмінити вибір усіх персонажів
8814543	Піднятися
1707401394	Взяти
1228448906	Сховати тіло
974031510	Стрибок вниз
1570316501	Стрибок
1281200264	Відсутнє спорядження
1661399895	Кинути
1970208064	Націлитися
332063575	Використати навичку
1642445805	Зміна навичок
979623826	Розмістити маркер
1371401178	Видалити маркер
14277674	Увмк./Вимк. огляд
1007288526	Увмк./Вимк. дію
760226682	Виконати план
623490031	Журнал квестів
1137813917	Пауза
341979071	Продовжити
1020053951	Швидке збереження
1985431665	Створити маршрутну точку
1985552838	Скинути план
735890781	Скасувати
45909301	Один з ваших героїв загинув.
1126684877	Загинув Джеймс Купер.
1767301141	Кейт схопили на шляху в офіс.
1804249882	Не залишилося динаміту, щоб очистити ціль.
729436862	Скинути камеру
2004899354	Камера
1848829029	Жодного
417700520	Вбити
575344989	Стріляй
964636690	Перезаписати це збереження?
454694763	Перезапустити місію? Увесь незбережений прогрес буде втрачено.
1410384205	Вийти з місії? Увесь незбережений прогрес буде втрачено.
426906539	Завантажити вибрану збережену гру
1455108595	Створити нове збереження
537819092	Час завершення:
1033428211	Кількість збережень:
1389622243	Кількість завантажень:
876575705	Вбитих ворогів:
663721942	Не вбито ворогів:
1332746099	Загинуло мирних жителів:
1918849677	Отримано травми:
341645269	Виявлено гравців:
1712271163	Виявлено тіл:
1445260513	Кількість тривог:
2046070127	Найбільше вбивств:
1305585010	Найбільше смертей:
221506391	{0}:{1}:{2}
1223194325	{0}:{1}
1238875375	{0}s
1003502670	СТАТИСТИКА
1350143852	ПЕРСОНАЖІ
1519278145	Вбивства:
1771961771	Час:
1898824317	Меню
1808595989	Збереження
316165492	Завантаження
553774258	Пропустити {0}
763728597	Пропустити
1607540763	ГРУ ЗАВЕРШЕНО
134572073	ІНФОРМАЦІЯ ПРО МІСІЮ
684574630	ПОРАДИ
15174608	ЗАПИСНИК ДІАЛОГІВ
1690935143	ЗНАЧКИ
534458022	Повернути
1172304687	Збільшити
472536070	НАЗАД ДО МЕНЮ
2007793874	Розборки
1552845124	Цілі
2129578386	Бачення
45086762	Введіть
650614824	Штовхати
1006693641	Вихід
1012474485	Вкрасти
824126935	Вирізати
960256102	Перевезти
1136054151	Вбити
2009903160	Нокаут
404800528	Заблоковано
98960900	Незавершені значки не відображаються під час першого проходження місії.
143561912	{0} (Утримувати)
1031727861	Вид по центру
1317422898	Змінити Вихід
1574346156	Статистика
268313053	Значки
1677804019	Нова підказка! {0}
47952872	Цілі оновлено! {0}
171506482	Відволіктися
1117636783	Приманка
525698574	Режим складності:
